,subId,rt,imgName,isRepeat,rating,trial_index,debug_mode
87,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3253,/static/images/2kfaces/Google_1_Gregory Arriola_3_oval.jpg,1,4,103,live
88,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2566,/static/images/2kfaces/Google_1_Ronald Driver_19_oval.jpg,1,6,104,live
89,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2942,/static/images/2kfaces/Google_1_Gloria Canada_13_oval.jpg,1,4,105,live
90,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2962,/static/images/2kfaces/Google_1_Frank Whitehouse_3_oval.jpg,1,4,107,live
91,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2317,/static/images/2kfaces/Google_1_Sherry Mcmichael_11_oval.jpg,1,6,108,live
92,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2494,/static/images/2kfaces/Google_1_Valerie Noble_9_oval.jpg,1,6,109,live
93,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2622,/static/images/2kfaces/Google_1_Sara Guajardo_1_oval.jpg,1,5,110,live
94,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3093,/static/images/2kfaces/Google_1_Henry Gumm_19_oval.jpg,1,7,111,live
95,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2558,/static/images/2kfaces/Google_1_Samuel Paschal_17_oval.jpg,1,3,112,live
96,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2654,/static/images/2kfaces/Google_1_Donna Asberry_5_oval.jpg,1,5,113,live
97,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,4024,/static/images/2kfaces/Google_1_Kenneth Rigsby_15_oval.jpg,1,4,114,live
98,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2606,/static/images/2kfaces/Google_1_Cheryl Griffin_15_oval.jpg,1,8,115,live
99,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3342,/static/images/2kfaces/Google_1_Paul Horst_15_oval.jpg,1,5,116,live
100,A1SP3GBRZKMWZJ:3VA45EW49PUPQ1A6MJHM126W8GFO1U,13200,/static/images/2kfaces/Google_1_Louis Mceachern_7_oval.jpg,0,1,6,live
